奇妙能力歌,陈粒,123.07836337387708
易燃易爆炸,陈粒,106.76131934980407
Night Time,The fin.,43.718180863139686
Loving Strangers,Russian Red,43.246429879044435
Sorrow Is My Lover,热斑,34.292579972249285
青春修炼手册,TFBOYS,32.82627477172324
爱出发,TFBOYS,31.458513322901442
Disco 2000,Pulp,30.14145112781885
宠爱,TFBOYS,30.09075187407964
历历万乡,陈粒,29.400847757892866
不会说话的爱情,周云蓬,29.383644909576024
Heart,TFBOYS,28.72299042525784
Leave Them All Behind,Ride,28.07491120594163
快乐环岛,TFBOYS,27.355228976436035
梦想摩天楼,易烊千玺,25.987467527614232
样 (YOUNG),TFBOYS,25.987467527614232
Hit Me Hard,热斑,25.764627663468875
看月亮爬上来 (Live),易烊千玺,24.619706078792433
幸运符号,TFBOYS,24.619706078792433
桥,许佩佩,24.287878257299827
